facility,matched_pathway_count,average_or_ci,average_ca_ci,average_or_minus_ca_spread
Siouxland Ethnaol LLC,1,51.1,66.5,-15.399999999999999
Hankinson Renewable Energy LLC,2,55.725,70.275,-14.549999999999997
E Energy Adams LLC,1,55.71,69.81,-14.100000000000001
Bridgeport Ethanol LLC,1,51.19,64.79,-13.600000000000009
The Andersons Marathon Holdings LLC,2,58.395,71.905,-13.509999999999998
Western Plains Energy LLC,1,51.44,64.89,-13.450000000000003
Glacial Lakes Energy,1,60.55,73.64,-13.090000000000003
Bonanza Bioenergy LLC,1,51.45,64.45,-13.0
Kappa Ethanol Ravenna LLC,2,56.459999999999994,69.29,-12.830000000000005
Arkalon Ethanol LLC,2,56.44,69.2,-12.760000000000005
Yuma Ethanol LLC,1,51.86,64.45,-12.590000000000003
Redfield Energy LLC,2,55.555,68.05,-12.494999999999997
Poet Biorefining- Groton LLC,2,59.785,72.2,-12.415000000000006
Chippewa Valley Ethanol Co LLLP,2,60.39,72.80000000000001,-12.41
Huron Energy LLC,2,60.165,72.525,-12.36
Dakota Ethanol LLC,3,56.88333333333333,69.19333333333333,-12.309999999999997
Ringneck Energy & Feed LLC,2,56.525,68.405,-11.880000000000003
Trenton Agri Products LLC,2,58.045,69.775,-11.729999999999997
Poet Biorefining- Chancellor LLC,1,51.02,62.63,-11.61
Mid America Agri Products LLC,1,55.68,66.96,-11.279999999999994
Poet Biorefining- Hudson,2,59.13,70.36500000000001,-11.235
Poet Biorefining- Big Stone LLC,2,60.435,71.525,-11.089999999999996
Poet Biorefining- Mitchell LLC,2,58.79,69.88,-11.089999999999996
Sterling Ethanol LLC,1,54.12,65.13,-11.009999999999998
Husker Ag LLC,1,53.09,63.99,-10.899999999999999
Kappa Ethanol LLC,1,50.51,61.25,-10.740000000000002
Siouxland Energy Cooperative,1,52.72,61.09,-8.370000000000005
Poet Biorefinning-Corning LLC,1,60.92,66.57,-5.6499999999999915
Poet Biorefinning-Jewell LLC,1,62.32,67.19,-4.869999999999997
Poet Biorefinning-Coon Rapids,1,62.64,66.28,-3.6400000000000006
