facility,city,state,or_pathway_code,or_ci,ca_pathway_code,ca_ci,or_minus_ca_ci,or_effective_date,ca_effective_date,or_process_type,ca_process_type,coproduct,ca_coproduct,or_feedstock_description,ca_feedstock_description,or_gas_source,ca_gas_source,or_electricity_source,ca_electricity_source,match_type,z_score,outside_2_stddev
Poet Biorefinning-Coon Rapids,Coon Rapids,IA,OR,62.64,CA,66.28,-3.6400000000000006,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,3.4905198454040858,True
Poet Biorefinning-Jewell LLC,Jewell,IA,OR,62.32,CA,67.19,-4.869999999999997,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,2.9642893245043864,True
Poet Biorefinning-Corning LLC,Corning,IA,OR,60.92,CA,66.57,-5.6499999999999915,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,2.6305821649094567,True
Siouxland Energy Cooperative,Sioux Center,IA,OR,52.72,CA,61.09,-8.370000000000005,2025-07-10,2026-05-19,Starch,Starch,WDGS,DDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,1.4668854032450722,False
Kappa Ethanol LLC,Minden,NE,OR,50.51,CA,61.25,-10.740000000000002,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,exact,0.45292903370662546,False
Husker Ag LLC,Plainview,NE,OR,53.09,CA,63.99,-10.899999999999999,2025-07-10,2026-05-19,Starch,Starch,DDGS+MDGS,DDGS + MDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,0.384476283020487,False
Poet Biorefining- Big Stone LLC,Big Stone City,SD,OR,64.15,CA,75.07,-10.919999999999987,2025-07-10,2026-05-19,Starch,Starch,DDGS,DDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,0.37591968918472424,False
Poet Biorefining- Hudson,Hudson,SD,OR,62.99,CA,73.94,-10.949999999999996,2025-07-10,2026-05-19,Starch,Starch,DDGS,DDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,0.36308479843106944,False
Sterling Ethanol LLC,Sterling,CO,OR,54.12,CA,65.13,-11.009999999999998,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,0.337415016923766,False
Poet Biorefining- Mitchell LLC,Mitchell,SD,OR,55.03,CA,66.07,-11.039999999999992,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,exact,0.32458012617011733,False
Poet Biorefining- Mitchell LLC,Mitchell,SD,OR,62.55,CA,73.69,-11.14,2025-07-10,2026-05-19,Starch,Starch,DDGS,DDGS,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,exact,0.2817971569912762,False
