poet_group,facility,state,or_ci,ca_ci,or_minus_ca_ci,or_pathway_code,ca_pathway_code,or_effective_date,ca_effective_date,pathway_version_dates,or_feedstock_description,ca_feedstock_description,or_process_type,ca_process_type,coproduct,ca_coproduct,or_gas_source,ca_gas_source,or_electricity_source,ca_electricity_source,transportation_description,pathway_notes,match_quality
normal_poet,Poet Biorefining- Groton LLC,SD,56.16,68.73,-12.570000000000007,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,WDGS,WDGS,,Natural Gas,,Grid Electricity,not available in source detail,not available in source detail,exact
normal_poet,Poet Biorefining- Groton LLC,SD,63.41,75.67,-12.260000000000005,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,DDGS,DDGS,,Natural Gas,,Grid Electricity,not available in source detail,not available in source detail,exact
normal_poet,Poet Biorefining- Chancellor LLC,SD,51.02,62.63,-11.61,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,DDGS+WDGS,DDGS + WDGS,Natural Gas,Biogas,Grid Electricity,Grid Electricity,not available in source detail,not available in source detail,exact
normal_poet,Poet Biorefining- Hudson,SD,55.27,66.79,-11.520000000000003,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,WDGS,WDGS,,Natural Gas,,Grid Electricity,not available in source detail,not available in source detail,exact
normal_poet,Poet Biorefining- Big Stone LLC,SD,56.72,67.98,-11.260000000000005,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,WDGS,WDGS,,Natural Gas,,Grid Electricity,not available in source detail,not available in source detail,exact
normal_poet,Poet Biorefining- Mitchell LLC,SD,62.55,73.69,-11.14,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,DDGS,DDGS,Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,not available in source detail,not available in source detail,exact
normal_poet,Poet Biorefining- Mitchell LLC,SD,55.03,66.07,-11.039999999999992,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,WDGS,WDGS,Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,not available in source detail,not available in source detail,exact
normal_poet,Poet Biorefining- Hudson,SD,62.99,73.94,-10.949999999999996,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,DDGS,DDGS,,Natural Gas,,Grid Electricity,not available in source detail,not available in source detail,exact
normal_poet,Poet Biorefining- Big Stone LLC,SD,64.15,75.07,-10.919999999999987,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,DDGS,DDGS,,Natural Gas,,Grid Electricity,not available in source detail,not available in source detail,exact
outlier,Poet Biorefinning-Corning LLC,IA,60.92,66.57,-5.6499999999999915,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,WDGS,WDGS,,Natural Gas,,Grid Electricity,not available in source detail,not available in source detail,exact
outlier,Poet Biorefinning-Jewell LLC,IA,62.32,67.19,-4.869999999999997,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,WDGS,WDGS,,Natural Gas,,Grid Electricity,not available in source detail,not available in source detail,exact
outlier,Poet Biorefinning-Coon Rapids,IA,62.64,66.28,-3.6400000000000006,OR,CA,2025-07-10,2026-05-19,not available in source detail,Corn,Corn (009),Starch,Starch,WDGS,WDGS,,Natural Gas,,Grid Electricity,not available in source detail,not available in source detail,exact
