match_type,EPM,facility,city,state,feedstock_class,pathway_type,coproduct,or_pathway_code,or_ci,ca_pathway_code,ca_pathway,ca_feedstock,ca_coproduct,ca_ci,or_minus_ca_ci,or_effective_date,ca_effective_date,or_process_type,ca_process_type,or_feedstock_description,ca_feedstock_description,or_gas_source,ca_gas_source,or_electricity_source,ca_electricity_source
exact,3564,Arkalon Ethanol LLC,Liberal,KS,fiber/cellulosic,Fiber,DDGS+WDGS,OR,24.32,CA,Fiber,Corn Fiber (012),,24.39,-0.07000000000000028,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3564,Arkalon Ethanol LLC,Liberal,KS,corn starch,Starch,DDGS,OR,59.83,CA,Starch,Corn (009),DDGS,73.9,-14.070000000000007,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3564,Arkalon Ethanol LLC,Liberal,KS,corn starch,Starch,WDGS,OR,53.05,CA,Starch,Corn (009),WDGS,64.5,-11.450000000000003,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3564,Arkalon Ethanol LLC,Liberal,KS,sorghum,Starch,DDGS,OR,74.13,CA,Starch,Grain Sorghum (010),DDGS,77.17,-3.0400000000000063,2025-07-10,2026-05-19,Starch,Starch,Sorghum,Grain Sorghum (010),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3564,Arkalon Ethanol LLC,Liberal,KS,sorghum,Starch,WDGS,OR,67.35,CA,Starch,Grain Sorghum (010),WDGS,67.77,-0.4200000000000017,2025-07-10,2026-05-19,Starch,Starch,Sorghum,Grain Sorghum (010),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3574,Bonanza Bioenergy LLC,Garden City,KS,fiber/cellulosic,Fiber,WDGS,OR,25.13,CA,Fiber,Corn Fiber (012),,24.44,0.6899999999999977,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3574,Bonanza Bioenergy LLC,Garden City,KS,corn starch,Starch,WDGS,OR,51.45,CA,Starch,Corn (009),WDGS,64.45,-13.0,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3574,Bonanza Bioenergy LLC,Garden City,KS,sorghum,Starch,WDGS,OR,66.81,CA,Starch,Grain Sorghum (010),WDGS,67.03,-0.21999999999999886,2025-07-10,2026-05-19,Starch,Starch,Sorghum,Grain Sorghum (010),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3575,Bridgeport Ethanol LLC,Bridgeport,NE,corn starch,Starch,DDGS,OR,51.19,CA,Starch,Corn (009),WDGS,64.79,-13.600000000000009,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3587,Chippewa Valley Ethanol Co LLLP,Benson,MN,corn starch,Starch,DDGS,OR,64.29,CA,Starch,Corn (009),DDGS,76.7,-12.409999999999997,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,,Grid Electricity
exact,3587,Chippewa Valley Ethanol Co LLLP,Benson,MN,corn starch,Starch,WDGS,OR,56.49,CA,Starch,Corn (009),WDGS,68.9,-12.410000000000004,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,,Grid Electricity
