poet_group,facility,city,state,facility_id,fuel_code,or_pathway_id_or_code,ca_pathway_id_or_code,or_ci,ca_ci,or_minus_ca_spread,expected_iluc_spread,iluc_adjusted_residual,or_approval_or_effective_date,ca_approval_or_effective_date,or_version_date,ca_version_date,or_expiration_date,ca_expiration_date,or_pathway_status,ca_pathway_status,or_feedstock_text,ca_feedstock_text,or_process_text,ca_process_text,or_pathway_type,ca_pathway_type,or_coproduct_text,ca_coproduct_text,or_transport_description,ca_transport_description,or_destination_market,ca_destination_market,or_electricity_text,ca_electricity_text,or_gas_text,ca_gas_text,or_source_page_or_note,ca_source_page_or_note,or_pathway_description_raw,ca_pathway_description_raw,or_raw_column_values,ca_raw_column_values
normal_poet,Poet Biorefining- Groton LLC,Groton,SD,70013,,Ethanol,Ethanol (ETH),56.16,68.73,-12.570000000000007,12.25,-0.3200000000000074,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Other,Dry Mill,Starch,Starch,WDGS,WDGS,"Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Groton, SD, using BPX conversion method; Ethanol transported by rail to California",Oregon,California,,Grid Electricity,,Natural Gas,OR_LCFS_Detail,LCFS_Detail,"Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Groton, SD, using BPX conversion method; Ethanol transported by rail to California","Company=Poet Biorefining-Groton | Facility ID=70013 | Facility Location=South Dakota | City=Groton | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Other | Co-Product Type=WDGS | Current Certified CI=56.16 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.","Company=Poet Biorefining - Groton | Facility ID=70013 | Facility Location=South Dakota | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Fiber Technology=BPX | Process Type=Dry Mill | Coproduct Type=WDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current certified CI=68.73 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Groton, SD, using BPX conversion method; Ethanol transported by rail to California"
normal_poet,Poet Biorefining- Groton LLC,Groton,SD,70013,,Ethanol,Ethanol (ETH),63.41,75.67,-12.260000000000003,12.25,-0.0100000000000051,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Other,Dry Mill,Starch,Starch,DDGS,DDGS,"Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Groton, SD, using BPX conversion method; Ethanol transported by rail to California",Oregon,California,,Grid Electricity,,Natural Gas,OR_LCFS_Detail,LCFS_Detail,"Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Groton, SD, using BPX conversion method; Ethanol transported by rail to California","Company=Poet Biorefining-Groton | Facility ID=70013 | Facility Location=South Dakota | City=Groton | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Other | Co-Product Type=DDGS | Current Certified CI=63.41 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.","Company=Poet Biorefining - Groton | Facility ID=70013 | Facility Location=South Dakota | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Fiber Technology=BPX | Process Type=Dry Mill | Coproduct Type=DDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current certified CI=75.67 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Groton, SD, using BPX conversion method; Ethanol transported by rail to California"
normal_poet,Poet Biorefining- Chancellor LLC,Chancellor,SD,70012,,Ethanol,Ethanol (ETH),51.02,62.63,-11.61,12.25,0.6400000000000006,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Dry Mill,Dry Mill,Starch,Starch,DDGS+WDGS,DDGS + WDGS,"Poet Biorefining-Chancellor. Company ID: 4727. Facility ID: 70012. Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD; Ethanol transported by rail to Oregon, Composite CI.","Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD;  Ethanol transported by rail to California, Composite CI",Oregon,California,Grid Electricity,Grid Electricity,Natural Gas,Biogas,OR_LCFS_Detail,LCFS_Detail,"Poet Biorefining-Chancellor. Company ID: 4727. Facility ID: 70012. Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD; Ethanol transported by rail to Oregon, Composite CI.","Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD;  Ethanol transported by rail to California, Composite CI","Company=Poet Biorefining-Chancellor | Facility ID=70012 | Facility Location=SD | City=Chancellor | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Dry Mill | Co-Product Type=DDGS+WDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current Certified CI=51.02 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=Poet Biorefining-Chancellor. Company ID: 4727. Facility ID: 70012. Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD; Ethanol transported by rail to Oregon, Composite CI.","Company=Poet Biorefining - Chancellor, Llc | Facility ID=70012 | Facility Location=South Dakota | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Process Type=Dry Mill | Coproduct Type=DDGS + WDGS | Gas Supply=Biogas | Electricity Type=Grid Electricity | Current certified CI=62.63 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD;  Ethanol transported by rail to California, Composite CI"
normal_poet,Poet Biorefining- Hudson,Hudson,SD,70022,,Ethanol,Ethanol (ETH),55.27,66.79,-11.520000000000003,12.25,0.730000000000004,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Other,Dry Mill,Starch,Starch,WDGS,WDGS,"Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill, Dry DGS, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Hudson, SD, using BPX conversion method; Ethanol transported by rail to California",Oregon,California,,Grid Electricity,,Natural Gas,OR_LCFS_Detail,LCFS_Detail,"Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill, Dry DGS, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Hudson, SD, using BPX conversion method; Ethanol transported by rail to California","Company=Poet Biorefining-Hudson | Facility ID=70022 | Facility Location=SD | City=Hudson | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Other | Co-Product Type=WDGS | Current Certified CI=55.27 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.","Company=Poet Biorefining Hudson | Facility ID=70022 | Facility Location=South Dakota | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Fiber Technology=BPX | Process Type=Dry Mill | Coproduct Type=WDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current certified CI=66.79 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill, Dry DGS, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Hudson, SD, using BPX conversion method; Ethanol transported by rail to California"
normal_poet,Poet Biorefining- Big Stone LLC,Big Stone City,SD,70025,,Ethanol,Ethanol (ETH),56.72,67.98,-11.260000000000003,12.25,0.9899999999999948,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Other,Dry Mill,Starch,Starch,WDGS,WDGS,"Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill; Wet DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California.",Oregon,California,,Grid Electricity,,Natural Gas,OR_LCFS_Detail,LCFS_Detail,"Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill; Wet DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California.","Company=Poet Biorefining-Big Stone | Facility ID=70025 | Facility Location=SD | City=Big Stone City | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Other | Co-Product Type=WDGS | Current Certified CI=56.72 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.","Company=Poet Biorefining - Big Stone | Facility ID=70025 | Facility Location=South Dakota | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Process Type=Dry Mill | Coproduct Type=WDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current certified CI=67.98 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill; Wet DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California."
normal_poet,Poet Biorefining- Mitchell LLC,Mitchell,SD,70016,,Ethanol,Ethanol (ETH),62.55,73.69,-11.14,12.25,1.1099999999999994,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Dry Mill,Dry Mill,Starch,Starch,DDGS,DDGS,"Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016.Pathway Description: Midwest Corn, Dry Mill, Dry DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in Mitchell, SD; Ethanol transported by rail to Oregon","Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Mitchell, SD using BPX conversion method; Ethanol transported by rail to California",Oregon,California,Grid Electricity,Grid Electricity,Natural Gas,Natural Gas,OR_LCFS_Detail,LCFS_Detail,"Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016.Pathway Description: Midwest Corn, Dry Mill, Dry DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in Mitchell, SD; Ethanol transported by rail to Oregon","Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Mitchell, SD using BPX conversion method; Ethanol transported by rail to California","Company=Poet Biorefining-Mitchell | Facility ID=70016 | Facility Location=SD | City=Mitchell | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Dry Mill | Co-Product Type=DDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current Certified CI=62.55 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016.Pathway Description: Midwest Corn, Dry Mill, Dry DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in Mitchell, SD; Ethanol transported by rail to Oregon","Company=Poet Biorefining Mitchell | Facility ID=70016 | Facility Location=South Dakota | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Fiber Technology=BPX | Process Type=Dry Mill | Coproduct Type=DDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current certified CI=73.69 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Mitchell, SD using BPX conversion method; Ethanol transported by rail to California"
normal_poet,Poet Biorefining- Mitchell LLC,Mitchell,SD,70016,,Ethanol,Ethanol (ETH),55.03,66.07,-11.039999999999992,12.25,1.210000000000008,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Dry Mill,Dry Mill,Starch,Starch,WDGS,WDGS,"Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016. Pathway Description: Midwest Corn, Dry Mill, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in  Mitchell, SD; Ethanol transported by rail to Oregon","Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Mitchell, SD using BPX conversion method; Ethanol transported by rail to California",Oregon,California,Grid Electricity,Grid Electricity,Natural Gas,Natural Gas,OR_LCFS_Detail,LCFS_Detail,"Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016. Pathway Description: Midwest Corn, Dry Mill, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in  Mitchell, SD; Ethanol transported by rail to Oregon","Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Mitchell, SD using BPX conversion method; Ethanol transported by rail to California","Company=Poet Biorefining-Mitchell | Facility ID=70016 | Facility Location=SD | City=Mitchell | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Dry Mill | Co-Product Type=WDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current Certified CI=55.03 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016. Pathway Description: Midwest Corn, Dry Mill, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in  Mitchell, SD; Ethanol transported by rail to Oregon","Company=Poet Biorefining Mitchell | Facility ID=70016 | Facility Location=South Dakota | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Fiber Technology=BPX | Process Type=Dry Mill | Coproduct Type=WDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current certified CI=66.07 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Mitchell, SD using BPX conversion method; Ethanol transported by rail to California"
normal_poet,Poet Biorefining- Hudson,Hudson,SD,70022,,Ethanol,Ethanol (ETH),62.99,73.94,-10.949999999999996,12.25,1.3000000000000114,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Other,Dry Mill,Starch,Starch,DDGS,DDGS,"Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill, Dry DGS, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Hudson, SD, using BPX conversion method; Ethanol transported by rail to California",Oregon,California,,Grid Electricity,,Natural Gas,OR_LCFS_Detail,LCFS_Detail,"Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill, Dry DGS, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Hudson, SD, using BPX conversion method; Ethanol transported by rail to California","Company=Poet Biorefining-Hudson | Facility ID=70022 | Facility Location=SD | City=Hudson | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Other | Co-Product Type=DDGS | Current Certified CI=62.99 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.","Company=Poet Biorefining Hudson | Facility ID=70022 | Facility Location=South Dakota | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Fiber Technology=BPX | Process Type=Dry Mill | Coproduct Type=DDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current certified CI=73.94 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill, Dry DGS, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Hudson, SD, using BPX conversion method; Ethanol transported by rail to California"
normal_poet,Poet Biorefining- Big Stone LLC,Big Stone City,SD,70025,,Ethanol,Ethanol (ETH),64.15,75.07,-10.919999999999987,12.25,1.3300000000000125,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Other,Dry Mill,Starch,Starch,DDGS,DDGS,"Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill; Dry DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California.",Oregon,California,,Grid Electricity,,Natural Gas,OR_LCFS_Detail,LCFS_Detail,"Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.","Midwest Corn, Dry Mill; Dry DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California.","Company=Poet Biorefining-Big Stone | Facility ID=70025 | Facility Location=SD | City=Big Stone City | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Other | Co-Product Type=DDGS | Current Certified CI=64.15 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.","Company=Poet Biorefining - Big Stone | Facility ID=70025 | Facility Location=South Dakota | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Process Type=Dry Mill | Coproduct Type=DDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current certified CI=75.07 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill; Dry DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California."
outlier,Poet Biorefinning-Corning LLC,Corning,IA,70143,,Ethanol,Ethanol (ETH),60.92,66.57,-5.649999999999992,12.25,6.6000000000000085,2025-07-10,2026-05-19,2025-07-10,05-19-2026,Q4 2025,,,,Corn,Corn (009),Other,Dry Mill,Starch,Starch,WDGS,WDGS,"POET Biorefining - Corning, LLC (Company ID 5046; Facility ID 70143). Corn Ethanol. Dry/Wet DGS. Railed to Oregon.","Midwest Corn, Dry Mill, Dry and Wet DGS, Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Corning, Iowa using BPX conversion method; Ethanol transported by rail to California",Oregon,California,,Grid Electricity,,Natural Gas,OR_LCFS_Detail,LCFS_Detail,"POET Biorefining - Corning, LLC (Company ID 5046; Facility ID 70143). Corn Ethanol. Dry/Wet DGS. Railed to Oregon.","Midwest Corn, Dry Mill, Dry and Wet DGS, Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Corning, Iowa using BPX conversion method; Ethanol transported by rail to California","Company=Poet Biorefining-Corning | Facility ID=70143 | Facility Location=Iowa | City=Corning | Feedstock=Corn | Fuel Type=Ethanol | Pathway Type=Starch | Process Type=Other | Co-Product Type=WDGS | Current Certified CI=60.92 | Eff. End Qtr/Yr=Q4 2025 | Version Date=2025-07-10 | Pathway Description=POET Biorefining - Corning, LLC (Company ID 5046; Facility ID 70143). Corn Ethanol. Dry/Wet DGS. Railed to Oregon.","Company=Poet Biorefining Corning | Facility ID=70143 | Facility Location=Iowa | Feedstock=Corn (009) | Fuel Type=Ethanol (ETH) | Pathway Type=Starch | Fiber Technology=BPX | Process Type=Dry Mill | Coproduct Type=WDGS | Gas Supply=Natural Gas | Electricity Type=Grid Electricity | Current certified CI=66.57 | Version Date=05-19-2026 | Date=2026-05-19 | Pathway Description=Midwest Corn, Dry Mill, Dry and Wet DGS, Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Corning, Iowa using BPX conversion method; Ethanol transported by rail to California"
