field,outlier_values,normal_values,outlier_unique_values,normal_unique_values,distinguishes_outliers,comment
ca_version_date,05-19-2026,05-19-2026,,,False,overlaps/no clear distinction
ca_expiration_date,,,,,False,overlaps/no clear distinction
ca_pathway_status,,,,,False,overlaps/no clear distinction
ca_feedstock_text,Corn (009),Corn (009),,,False,overlaps/no clear distinction
ca_process_text,Dry Mill,Dry Mill,,,False,overlaps/no clear distinction
ca_coproduct_text,WDGS,DDGS; DDGS + WDGS; WDGS,,DDGS; DDGS + WDGS,False,overlaps/no clear distinction
ca_transport_description,"Midwest Corn, Dry Mill, Dry and Wet DGS, Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Corning, Iowa using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Coon Rapids, Iowa using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill, Wet and Dry DGS using natural gas and electricity; Starch ethanol produced from Corn using BPX process along with Syrup, Corn Oil in Jewell Iowa; Ethanol transported by rail to California","Midwest Corn, Dry Mill, Dry DGS, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Hudson, SD, using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Groton, SD, using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Mitchell, SD using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill; Dry DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California.; Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD;  Ethanol transported by rail to California, Composite CI; Midwest Corn, Dry Mill; Wet DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California.","Midwest Corn, Dry Mill, Dry and Wet DGS, Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Corning, Iowa using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Coon Rapids, Iowa using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill, Wet and Dry DGS using natural gas and electricity; Starch ethanol produced from Corn using BPX process along with Syrup, Corn Oil in Jewell Iowa; Ethanol transported by rail to California","Midwest Corn, Dry Mill, Dry DGS, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Hudson, SD, using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Groton, SD, using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill, Dry and Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in Mitchell, SD using BPX conversion method; Ethanol transported by rail to California; Midwest Corn, Dry Mill; Dry DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California.; Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD;  Ethanol transported by rail to California, Composite CI; Midwest Corn, Dry Mill; Wet DGS, Corn Oil; Natural Gas, Coal, Grid Electricity; Starch Ethanol produced in South Dakota; Ethanol transported by rail to California.",True,materially different
ca_destination_market,California,California,,,False,overlaps/no clear distinction
ca_electricity_text,Grid Electricity,Grid Electricity,,,False,overlaps/no clear distinction
ca_gas_text,Natural Gas,Biogas; Natural Gas,,Biogas,False,overlaps/no clear distinction
