outlier_group,facility,company,city,state,or_ci,ca_ci,or_minus_ca_spread,total_btu_per_gal,natural_gas_source,dryer_type,chp_status,corn_fiber_technology_status,d3_capability,capacity_mgy,year_built,dryer_implied_btu_per_gal,relative_dryer_efficiency_bucket,or_pathway_code,ca_pathway_code,coproduct,or_effective_date,ca_effective_date,or_gas_source,ca_gas_source,or_electricity_source,ca_electricity_source,match_type,btu_bucket
normal_poet_group,Poet Biorefining- Chancellor LLC,POET Biorefining,Chancellor,SD,51.02,62.63,-11.61,9377.224877497172,Biogas,Ring Dryer,CHP,BPX,Yes,125.0,2003.0,,,OR,CA,DDGS+WDGS,2025-07-10,2026-05-19,Natural Gas,Biogas,Grid Electricity,Grid Electricity,exact,"<24,000"
normal_poet_group,Poet Biorefining- Big Stone LLC,POET Biorefining,Big Stone City,SD,64.15,75.07,-10.919999999999987,17331.239746558254,Natural Gas,Ring Dryer,CHP,BPX,Yes,105.0,2002.0,10701.886792452815,relative_efficient_dryer,OR,CA,DDGS,2025-07-10,2026-05-19,,Natural Gas,,Grid Electricity,exact,"<24,000"
normal_poet_group,Poet Biorefining- Big Stone LLC,POET Biorefining,Big Stone City,SD,56.72,67.98,-11.260000000000003,17331.239746558254,Natural Gas,Ring Dryer,CHP,BPX,Yes,105.0,2002.0,10701.886792452815,relative_efficient_dryer,OR,CA,WDGS,2025-07-10,2026-05-19,,Natural Gas,,Grid Electricity,exact,"<24,000"
outlier,Poet Biorefinning-Corning LLC,POET Biorefining,Corning,IA,60.92,66.57,-5.649999999999992,23041.574737194787,Natural Gas,Ring Dryer,CHP,BPX,Yes,90.0,2007.0,12422.641509433968,relative_standard_dryer,OR,CA,WDGS,2025-07-10,2026-05-19,,Natural Gas,,Grid Electricity,exact,"<24,000"
outlier,Poet Biorefinning-Coon Rapids,POET Biorefining,Coon Rapids,IA,62.64,66.28,-3.640000000000001,23063.237554002728,Natural Gas,Ring Dryer,,BPX,Yes,65.0,2002.0,9962.264150943389,relative_efficient_dryer,OR,CA,WDGS,2025-07-10,2026-05-19,,Natural Gas,,Grid Electricity,exact,"<24,000"
outlier,Poet Biorefinning-Jewell LLC,POET Biorefining,Jewell,IA,62.32,67.19,-4.869999999999997,23426.31570130251,Natural Gas,Ring Dryer,CHP,BPX,Yes,90.0,2006.0,9916.981132075483,relative_efficient_dryer,OR,CA,WDGS,2025-07-10,2026-05-19,,Natural Gas,,Grid Electricity,exact,"<24,000"
normal_poet_group,Poet Biorefining- Hudson,POET Biorefining,Hudson,SD,62.99,73.94,-10.949999999999996,23497.178665661515,Natural Gas,Ring Dryer,CHP,BPX,Yes,80.0,2004.0,10792.452830188668,relative_efficient_dryer,OR,CA,DDGS,2025-07-10,2026-05-19,,Natural Gas,,Grid Electricity,exact,"<24,000"
normal_poet_group,Poet Biorefining- Hudson,POET Biorefining,Hudson,SD,55.27,66.79,-11.520000000000003,23497.178665661515,Natural Gas,Ring Dryer,CHP,BPX,Yes,80.0,2004.0,10792.452830188668,relative_efficient_dryer,OR,CA,WDGS,2025-07-10,2026-05-19,,Natural Gas,,Grid Electricity,exact,"<24,000"
normal_poet_group,Poet Biorefining- Mitchell LLC,POET Biorefining,Mitchell,SD,62.55,73.69,-11.14,23612.571989586162,Natural Gas,Ring Dryer,,BPX,Yes,86.0,2006.0,11501.886792452837,relative_standard_dryer,OR,CA,DDGS,2025-07-10,2026-05-19,Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,exact,"<24,000"
normal_poet_group,Poet Biorefining- Mitchell LLC,POET Biorefining,Mitchell,SD,55.03,66.07,-11.039999999999992,23612.571989586162,Natural Gas,Ring Dryer,,BPX,Yes,86.0,2006.0,11501.886792452837,relative_standard_dryer,OR,CA,WDGS,2025-07-10,2026-05-19,Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,exact,"<24,000"
normal_poet_group,Poet Biorefining- Groton LLC,POET Biorefining,Groton,SD,63.41,75.67,-12.260000000000003,24353.595263963103,Natural Gas,Ring Dryer,,BPX,Yes,68.0,2005.0,10475.471698113204,relative_efficient_dryer,OR,CA,DDGS,2025-07-10,2026-05-19,,Natural Gas,,Grid Electricity,exact,"24,000-26,000"
normal_poet_group,Poet Biorefining- Groton LLC,POET Biorefining,Groton,SD,56.16,68.73,-12.570000000000007,24353.595263963103,Natural Gas,Ring Dryer,,BPX,Yes,68.0,2005.0,10475.471698113204,relative_efficient_dryer,OR,CA,WDGS,2025-07-10,2026-05-19,,Natural Gas,,Grid Electricity,exact,"24,000-26,000"
