match_type,EPM,facility,city,state,feedstock_class,pathway_type,coproduct,wa_code,wa_ci,ca_pathway,ca_feedstock,ca_coproduct,ca_ci,wa_minus_ca_ci
exact,3564,Arkalon Ethanol LLC,Liberal,KS,corn starch,Ethanol from Corn,WDGS,ETHWA009A01530100,64.83,Starch,Corn (009),WDGS,64.5,0.3299999999999983
exact,3564,Arkalon Ethanol LLC,Liberal,KS,corn starch,Ethanol from Corn,DDGS,ETHWA009A01530200,73.79,Starch,Corn (009),DDGS,73.9,-0.10999999999999943
exact,3564,Arkalon Ethanol LLC,Liberal,KS,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01530500,24.51,Fiber,Corn Fiber (012),,24.39,0.120000000000001
exact,3564,Arkalon Ethanol LLC,Liberal,KS,sorghum,Ethanol from Sorghum,WDGS,ETHWA010A01530300,67.3,Starch,Grain Sorghum (010),WDGS,67.77,-0.46999999999999886
exact,3564,Arkalon Ethanol LLC,Liberal,KS,sorghum,Ethanol from Sorghum,DDGS,ETHWA010A01530400,76.26,Starch,Grain Sorghum (010),DDGS,77.17,-0.9099999999999966
exact,3574,Bonanza Bioenergy LLC,Garden City,KS,corn starch,Ethanol from Corn,WDGS,ETHWA009A01520200,63.83,Starch,Corn (009),WDGS,64.45,-0.6200000000000045
exact,3574,Bonanza Bioenergy LLC,Garden City,KS,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01520300,24.95,Fiber,Corn Fiber (012),,24.44,0.509999999999998
exact,3574,Bonanza Bioenergy LLC,Garden City,KS,sorghum,Ethanol from Sorghum,WDGS,ETHWA010A01520100,67.14,Starch,Grain Sorghum (010),WDGS,67.03,0.10999999999999943
exact,3575,Bridgeport Ethanol LLC,Bridgeport,NE,corn starch,Ethanol from Corn,WDGS,ETHWA009A01170101,65.08,Starch,Corn (009),WDGS,64.79,0.28999999999999204
exact,3587,Chippewa Valley Ethanol Co LLLP,Benson,MN,corn starch,Ethanol from Corn,DDGS,ETHWA009B00360100,76.43,Starch,Corn (009),DDGS,76.7,-0.269999999999996
exact,3587,Chippewa Valley Ethanol Co LLLP,Benson,MN,corn starch,Ethanol from Corn,WDGS,ETHWA009B00360200,68.53,Starch,Corn (009),WDGS,68.9,-0.37000000000000455
exact,3587,Chippewa Valley Ethanol Co LLLP,Benson,MN,fiber/cellulosic,Ethanol from Biomass,,ETHWA012B00360300,28.59,Fiber,Corn Fiber (012),,29.0,-0.41000000000000014
exact,3592,Dakota Ethanol LLC,Wentworth,SD,corn starch,Ethanol from Corn,DDGS,ETHWA009A00260101,72.69,Starch,Corn (009),DDGS,73.05,-0.35999999999999943
exact,3592,Dakota Ethanol LLC,Wentworth,SD,corn starch,Ethanol from Corn,,ETHWA009A00260201,68.72,Starch,Corn (009),MDGS,69.08,-0.35999999999999943
exact,3592,Dakota Ethanol LLC,Wentworth,SD,corn starch,Ethanol from Corn,WDGS,ETHWA009A00260301,65.09,Starch,Corn (009),WDGS,65.45,-0.35999999999999943
exact,3592,Dakota Ethanol LLC,Wentworth,SD,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A00260401,25.08,Fiber,Corn Fiber (012),,25.62,-0.5400000000000027
exact,3594,Denco II LLC,Morris,MN,corn starch,Ethanol from Corn,WDGS,ETHWA009A01400200,69.8,Starch,Corn (009),WDGS,70.16,-0.35999999999999943
exact,3607,Glacial Lakes Energy,Watertown,SD,corn starch,Ethanol from Corn,DDGS,ETHWA009A01550200,73.24,Starch,Corn (009),DDGS,73.7,-0.46000000000000796
exact,3607,Glacial Lakes Energy,Watertown,SD,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01550100,33.18,Fiber,Corn Fiber (012),,34.31,-1.1300000000000026
exact,3619,Green Plains Otter Tail LLC,Otter Tail,MN,corn starch,Ethanol from Corn,WDGS,ETHWA009A01380100,72.13,Starch,Corn (009),DDGS + WDGS,72.83,-0.7000000000000028
exact,3626,Hankinson Renewable Energy LLC,Hankinson,ND,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01440301,25.15,Fiber,Corn Fiber (012),,26.0,-0.8500000000000014
exact,3633,Husker Ag LLC,Plainview,NE,corn starch,Ethanol from Corn,DDGS,ETHWA009A01320101,65.0,Starch,Corn (009),DDGS + MDGS,63.99,1.009999999999998
exact,3633,Husker Ag LLC,Plainview,NE,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01320201,26.4,Fiber,Corn Fiber (012),,25.83,0.5700000000000003
exact,3636,Kappa Ethanol LLC,Minden,NE,corn starch,Ethanol from Corn,WDGS,ETHWA009A00270101,62.37,Starch,Corn (009),WDGS,61.25,1.1199999999999974
exact,3636,Kappa Ethanol LLC,Minden,NE,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A00270201,23.04,Fiber,Corn Fiber (012),,23.0,0.03999999999999915
exact,3637,Kappa Ethanol Ravenna LLC,Ravenna,NE,corn starch,Ethanol from Corn,DDGS,ETHWA009A00310100,73.79,Starch,Corn (009),DDGS,74.68,-0.8900000000000006
